operation,label
70 + 90 = 160,correct
49 + 60 = 119,addition_error
41 + 94 = 136,addition_error
31 + 54 = 92,addition_error
63 + 73 = 136,correct
21 + 43 = 64,correct
15 + 15 = 26,subtraction_error
2 + 56 = 64,addition_error
50 + 31 = 81,correct
45 + 15 = 55,subtraction_error
94 + 49 = 150,addition_error
77 + 26 = 103,correct
78 + 17 = 104,addition_error
67 + 15 = 80,subtraction_error
49 + 15 = 70,addition_error
63 + 5 = 60,subtraction_error
2 + 15 = 17,correct
9 + 15 = 28,addition_error
21 + 34 = 49,subtraction_error
52 + 47 = 92,subtraction_error
59 + 72 = 140,addition_error
66 + 46 = 110,subtraction_error
39 + 88 = 132,addition_error
89 + 35 = 124,correct
86 + 7 = 88,subtraction_error
89 + 98 = 187,correct
23 + 75 = 98,correct
86 + 58 = 144,correct
95 + 11 = 106,correct
88 + 6 = 96,addition_error
84 + 12 = 94,subtraction_error
34 + 77 = 119,addition_error
1 + 97 = 106,addition_error
45 + 45 = 97,addition_error
27 + 48 = 77,addition_error
41 + 38 = 89,addition_error
46 + 68 = 116,addition_error
43 + 35 = 78,correct
75 + 54 = 128,subtraction_error
48 + 57 = 110,addition_error
67 + 54 = 115,subtraction_error
52 + 21 = 80,addition_error
16 + 83 = 91,subtraction_error
11 + 3 = 13,subtraction_error
26 + 17 = 52,addition_error
43 + 89 = 131,subtraction_error
52 + 45 = 92,subtraction_error
26 + 76 = 107,addition_error
9 + 15 = 14,subtraction_error
34 + 30 = 65,addition_error
8 + 36 = 49,addition_error
26 + 38 = 69,addition_error
80 + 63 = 146,addition_error
91 + 96 = 187,correct
94 + 73 = 171,addition_error
15 + 54 = 69,correct
9 + 32 = 39,subtraction_error
90 + 30 = 127,addition_error
48 + 10 = 58,correct
16 + 93 = 102,subtraction_error
44 + 48 = 92,correct
2 + 31 = 33,correct
41 + 5 = 41,subtraction_error
89 + 3 = 100,addition_error
89 + 11 = 108,addition_error
98 + 97 = 195,correct
4 + 74 = 84,addition_error
32 + 69 = 101,correct
61 + 49 = 110,correct
77 + 26 = 103,correct
94 + 40 = 135,addition_error
14 + 42 = 57,addition_error
64 + 39 = 102,subtraction_error
94 + 73 = 167,correct
33 + 8 = 41,correct
69 + 37 = 109,addition_error
24 + 94 = 114,subtraction_error
24 + 26 = 50,correct
59 + 34 = 99,addition_error
1 + 96 = 89,subtraction_error
4 + 19 = 23,correct
45 + 15 = 66,addition_error
94 + 52 = 151,addition_error
3 + 78 = 90,addition_error
50 + 50 = 93,subtraction_error
68 + 49 = 117,correct
51 + 83 = 143,addition_error
51 + 38 = 79,subtraction_error
28 + 43 = 71,correct
84 + 17 = 109,addition_error
71 + 4 = 75,correct
6 + 2 = 18,addition_error
34 + 40 = 69,subtraction_error
19 + 78 = 97,correct
96 + 63 = 151,subtraction_error
67 + 35 = 96,subtraction_error
19 + 32 = 46,subtraction_error
48 + 3 = 44,subtraction_error
84 + 44 = 128,correct
87 + 36 = 114,subtraction_error
86 + 17 = 106,addition_error
26 + 68 = 95,addition_error
24 + 94 = 128,addition_error
8 + 56 = 64,correct
97 + 25 = 119,subtraction_error
2 + 5 = 7,correct
76 + 93 = 162,subtraction_error
36 + 3 = 29,subtraction_error
53 + 2 = 47,subtraction_error
13 + 93 = 113,addition_error
81 + 71 = 152,correct
70 + 3 = 80,addition_error
70 + 45 = 115,correct
26 + 70 = 104,addition_error
88 + 64 = 149,subtraction_error
27 + 58 = 76,subtraction_error
8 + 77 = 85,correct
42 + 38 = 76,subtraction_error
48 + 10 = 61,addition_error
90 + 18 = 108,correct
78 + 36 = 104,subtraction_error
89 + 55 = 153,addition_error
15 + 26 = 41,correct
66 + 83 = 149,correct
7 + 40 = 57,addition_error
30 + 58 = 93,addition_error
48 + 77 = 123,subtraction_error
24 + 88 = 112,correct
77 + 26 = 113,addition_error
20 + 32 = 51,subtraction_error
65 + 80 = 145,correct
92 + 86 = 171,subtraction_error
22 + 64 = 87,addition_error
74 + 89 = 163,correct
18 + 62 = 80,correct
34 + 39 = 63,subtraction_error
51 + 54 = 105,correct
62 + 97 = 169,addition_error
13 + 78 = 95,addition_error
95 + 49 = 143,subtraction_error
85 + 75 = 160,correct
86 + 63 = 139,subtraction_error
53 + 15 = 58,subtraction_error
41 + 21 = 62,correct
4 + 39 = 43,correct
32 + 84 = 115,subtraction_error
74 + 58 = 130,subtraction_error
12 + 35 = 52,addition_error
4 + 97 = 101,correct
81 + 73 = 154,correct
29 + 72 = 101,correct
24 + 45 = 69,correct
28 + 33 = 52,subtraction_error
18 + 79 = 95,subtraction_error
59 + 47 = 96,subtraction_error
43 + 89 = 132,correct
34 + 17 = 44,subtraction_error
7 + 91 = 98,correct
85 + 13 = 93,subtraction_error
61 + 79 = 138,subtraction_error
30 + 8 = 38,correct
3 + 28 = 31,correct
74 + 40 = 114,correct
14 + 42 = 47,subtraction_error
48 + 63 = 116,addition_error
88 + 18 = 106,correct
30 + 75 = 99,subtraction_error
37 + 29 = 64,subtraction_error
36 + 3 = 39,correct
8 + 60 = 74,addition_error
48 + 12 = 70,addition_error
62 + 65 = 133,addition_error
69 + 92 = 161,correct
54 + 22 = 84,addition_error
27 + 42 = 69,correct
13 + 61 = 65,subtraction_error
58 + 5 = 66,addition_error
76 + 5 = 91,addition_error
76 + 64 = 145,addition_error
68 + 83 = 160,addition_error
38 + 59 = 102,addition_error
31 + 86 = 124,addition_error
42 + 93 = 143,addition_error
17 + 82 = 103,addition_error
29 + 18 = 47,correct
90 + 83 = 163,subtraction_error
75 + 93 = 169,addition_error
18 + 5 = 23,correct
23 + 75 = 104,addition_error
67 + 94 = 162,addition_error
44 + 12 = 64,addition_error
53 + 15 = 68,correct
40 + 60 = 91,subtraction_error
68 + 29 = 97,correct
1 + 20 = 25,addition_error
98 + 2 = 101,addition_error
1 + 97 = 98,correct
83 + 20 = 103,correct
42 + 9 = 46,subtraction_error
91 + 56 = 149,addition_error
30 + 4 = 27,subtraction_error
42 + 93 = 130,subtraction_error
71 + 89 = 150,subtraction_error
86 + 66 = 160,addition_error
41 + 17 = 57,subtraction_error
86 + 68 = 151,subtraction_error
30 + 83 = 116,addition_error
25 + 10 = 38,addition_error
95 + 72 = 162,subtraction_error
85 + 26 = 111,correct
62 + 51 = 117,addition_error
20 + 39 = 66,addition_error
47 + 89 = 136,correct
26 + 17 = 43,correct
38 + 63 = 95,subtraction_error
64 + 34 = 95,subtraction_error
71 + 91 = 171,addition_error
81 + 67 = 148,correct
23 + 5 = 28,correct
32 + 91 = 123,correct
67 + 33 = 98,subtraction_error
79 + 57 = 137,addition_error
75 + 65 = 132,subtraction_error
4 + 95 = 89,subtraction_error
4 + 60 = 64,correct
61 + 17 = 77,subtraction_error
65 + 70 = 132,subtraction_error
15 + 90 = 105,correct
75 + 43 = 117,subtraction_error
48 + 12 = 51,subtraction_error
86 + 40 = 116,subtraction_error
8 + 83 = 91,correct
21 + 53 = 68,subtraction_error
37 + 25 = 67,addition_error
58 + 1 = 62,addition_error
55 + 4 = 69,addition_error
13 + 78 = 91,correct
97 + 53 = 149,subtraction_error
32 + 38 = 77,addition_error
44 + 84 = 128,correct
7 + 89 = 96,correct
48 + 43 = 97,addition_error
37 + 63 = 97,subtraction_error
49 + 3 = 47,subtraction_error
30 + 58 = 85,subtraction_error
15 + 57 = 78,addition_error
28 + 38 = 66,correct
69 + 11 = 87,addition_error
46 + 52 = 92,subtraction_error
50 + 29 = 79,correct
57 + 76 = 133,correct
78 + 67 = 140,subtraction_error
2 + 56 = 51,subtraction_error
26 + 62 = 93,addition_error
26 + 64 = 92,addition_error
8 + 86 = 104,addition_error
69 + 54 = 120,subtraction_error
24 + 26 = 44,subtraction_error
61 + 17 = 87,addition_error
72 + 36 = 104,subtraction_error
28 + 43 = 63,subtraction_error
4 + 18 = 22,correct
66 + 99 = 171,addition_error
79 + 38 = 122,addition_error
86 + 34 = 120,correct
82 + 91 = 172,subtraction_error
49 + 78 = 127,correct
21 + 21 = 42,correct
13 + 34 = 39,subtraction_error
13 + 38 = 51,correct
82 + 85 = 167,correct
99 + 33 = 138,addition_error
5 + 48 = 53,correct
26 + 46 = 80,addition_error
53 + 15 = 65,subtraction_error
72 + 33 = 114,addition_error
61 + 47 = 116,addition_error
74 + 98 = 172,correct
40 + 81 = 118,subtraction_error
12 + 43 = 48,subtraction_error
52 + 47 = 99,correct
74 + 89 = 160,subtraction_error
30 + 49 = 89,addition_error
79 + 57 = 136,correct
17 + 71 = 98,addition_error
98 + 63 = 161,correct
16 + 48 = 74,addition_error
67 + 68 = 143,addition_error
68 + 83 = 142,subtraction_error
71 + 13 = 84,correct
90 + 91 = 189,addition_error
35 + 62 = 89,subtraction_error
38 + 90 = 137,addition_error
57 + 41 = 102,addition_error
98 + 2 = 96,subtraction_error
54 + 28 = 90,addition_error
14 + 31 = 35,subtraction_error
43 + 94 = 128,subtraction_error
60 + 49 = 109,correct
19 + 94 = 119,addition_error
94 + 69 = 166,addition_error
75 + 44 = 119,correct
34 + 64 = 105,addition_error
10 + 51 = 61,correct
7 + 68 = 79,addition_error
38 + 95 = 142,addition_error
45 + 36 = 78,subtraction_error
40 + 60 = 102,addition_error
32 + 91 = 118,subtraction_error
79 + 40 = 119,correct
49 + 87 = 128,subtraction_error
6 + 65 = 67,subtraction_error
28 + 69 = 107,addition_error
59 + 47 = 106,correct
29 + 18 = 46,subtraction_error
58 + 30 = 96,addition_error
23 + 66 = 97,addition_error
28 + 71 = 99,correct
63 + 87 = 144,subtraction_error
56 + 29 = 80,subtraction_error
39 + 80 = 129,addition_error
48 + 10 = 49,subtraction_error
30 + 42 = 72,correct
69 + 95 = 154,subtraction_error
94 + 40 = 134,correct
64 + 95 = 155,subtraction_error
55 + 2 = 57,correct
76 + 19 = 95,correct
40 + 81 = 121,correct
94 + 69 = 163,correct
94 + 94 = 185,subtraction_error
68 + 83 = 146,subtraction_error
83 + 87 = 173,addition_error
12 + 43 = 56,addition_error
59 + 33 = 101,addition_error
41 + 16 = 53,subtraction_error
90 + 91 = 176,subtraction_error
2 + 35 = 29,subtraction_error
45 + 22 = 68,addition_error
18 + 41 = 61,addition_error
48 + 2 = 40,subtraction_error
39 + 83 = 132,addition_error
16 + 72 = 92,addition_error
54 + 35 = 79,subtraction_error
18 + 96 = 117,addition_error
43 + 9 = 60,addition_error
84 + 12 = 96,correct
67 + 25 = 102,addition_error
98 + 2 = 110,addition_error
65 + 10 = 81,addition_error
6 + 64 = 70,correct
20 + 98 = 118,correct
48 + 50 = 99,addition_error
93 + 95 = 188,correct
14 + 17 = 22,subtraction_error
23 + 4 = 17,subtraction_error
79 + 40 = 112,subtraction_error
94 + 89 = 176,subtraction_error
43 + 94 = 138,addition_error
11 + 93 = 97,subtraction_error
37 + 4 = 41,correct
77 + 26 = 109,addition_error
61 + 49 = 104,subtraction_error
61 + 55 = 107,subtraction_error
18 + 77 = 95,correct
80 + 29 = 109,correct
93 + 54 = 156,addition_error
63 + 23 = 93,addition_error
29 + 83 = 113,addition_error
41 + 45 = 78,subtraction_error
23 + 98 = 130,addition_error
15 + 34 = 49,correct
58 + 81 = 130,subtraction_error
19 + 94 = 113,correct
38 + 59 = 88,subtraction_error
21 + 57 = 70,subtraction_error
70 + 79 = 159,addition_error
50 + 43 = 94,addition_error
4 + 97 = 98,subtraction_error
8 + 74 = 83,addition_error
60 + 89 = 149,correct
12 + 75 = 80,subtraction_error
51 + 21 = 72,correct
63 + 74 = 146,addition_error
81 + 71 = 158,addition_error
45 + 93 = 136,subtraction_error
91 + 90 = 181,correct
15 + 98 = 119,addition_error
56 + 27 = 74,subtraction_error
76 + 87 = 163,correct
14 + 39 = 52,subtraction_error
9 + 26 = 27,subtraction_error
89 + 98 = 183,subtraction_error
59 + 72 = 131,correct
21 + 32 = 59,addition_error
90 + 13 = 108,addition_error
96 + 51 = 137,subtraction_error
79 + 29 = 111,addition_error
95 + 70 = 172,addition_error
68 + 97 = 173,addition_error
9 + 57 = 70,addition_error
14 + 20 = 37,addition_error
95 + 49 = 154,addition_error
44 + 1 = 52,addition_error
37 + 83 = 130,addition_error
22 + 27 = 47,subtraction_error
37 + 46 = 83,correct
7 + 74 = 74,subtraction_error
49 + 91 = 148,addition_error
8 + 23 = 27,subtraction_error
41 + 37 = 68,subtraction_error
33 + 94 = 127,correct
15 + 34 = 57,addition_error
63 + 52 = 123,addition_error
19 + 32 = 56,addition_error
1 + 68 = 76,addition_error
75 + 43 = 126,addition_error
88 + 50 = 144,addition_error
66 + 89 = 156,addition_error
9 + 67 = 81,addition_error
41 + 5 = 46,correct
30 + 72 = 104,addition_error
49 + 4 = 46,subtraction_error
43 + 9 = 46,subtraction_error
48 + 3 = 51,correct
3 + 41 = 35,subtraction_error
23 + 77 = 109,addition_error
54 + 40 = 84,subtraction_error
74 + 98 = 167,subtraction_error
15 + 80 = 95,correct
94 + 49 = 143,correct
12 + 71 = 74,subtraction_error
7 + 60 = 67,correct
59 + 7 = 68,addition_error
25 + 34 = 62,addition_error
9 + 8 = 24,addition_error
85 + 45 = 121,subtraction_error
96 + 76 = 168,subtraction_error
74 + 15 = 80,subtraction_error
37 + 98 = 135,correct
38 + 90 = 128,correct
59 + 44 = 103,correct
9 + 58 = 60,subtraction_error
69 + 95 = 170,addition_error
91 + 96 = 189,addition_error
94 + 78 = 170,subtraction_error
78 + 8 = 84,subtraction_error
2 + 35 = 37,correct
27 + 58 = 85,correct
18 + 5 = 22,subtraction_error
39 + 95 = 128,subtraction_error
29 + 7 = 33,subtraction_error
8 + 74 = 92,addition_error
7 + 96 = 103,correct
25 + 10 = 32,subtraction_error
9 + 26 = 45,addition_error
89 + 61 = 152,addition_error
48 + 50 = 96,subtraction_error
54 + 94 = 151,addition_error
82 + 17 = 99,correct
43 + 9 = 52,correct
60 + 8 = 68,correct
4 + 4 = 2,subtraction_error
91 + 62 = 150,subtraction_error
64 + 86 = 141,subtraction_error
88 + 18 = 110,addition_error
12 + 24 = 41,addition_error
24 + 11 = 35,correct
93 + 43 = 136,correct
3 + 78 = 81,correct
46 + 15 = 61,correct
79 + 30 = 117,addition_error
19 + 97 = 123,addition_error
69 + 49 = 116,subtraction_error
24 + 11 = 27,subtraction_error
87 + 64 = 143,subtraction_error
34 + 14 = 58,addition_error
58 + 81 = 139,correct
69 + 80 = 140,subtraction_error
58 + 5 = 57,subtraction_error
45 + 45 = 90,correct
71 + 28 = 99,correct
13 + 70 = 83,correct
34 + 22 = 54,subtraction_error
75 + 93 = 161,subtraction_error
61 + 78 = 136,subtraction_error
17 + 76 = 93,correct
28 + 95 = 113,subtraction_error
74 + 98 = 173,addition_error
94 + 73 = 159,subtraction_error
9 + 26 = 31,subtraction_error
53 + 75 = 128,correct
18 + 62 = 72,subtraction_error
42 + 86 = 126,subtraction_error
47 + 37 = 82,subtraction_error
96 + 76 = 180,addition_error
8 + 83 = 87,subtraction_error
93 + 32 = 125,correct
90 + 25 = 115,correct
93 + 4 = 101,addition_error
70 + 28 = 90,subtraction_error
47 + 89 = 136,correct
84 + 4 = 91,addition_error
38 + 63 = 101,correct
43 + 36 = 79,correct
23 + 47 = 70,correct
73 + 37 = 110,correct
72 + 82 = 156,addition_error
8 + 83 = 98,addition_error
30 + 68 = 101,addition_error
49 + 20 = 66,subtraction_error
69 + 25 = 85,subtraction_error
74 + 97 = 171,correct
76 + 78 = 151,subtraction_error
36 + 91 = 117,subtraction_error
18 + 77 = 94,subtraction_error
8 + 23 = 32,addition_error
45 + 61 = 97,subtraction_error
9 + 91 = 101,addition_error
26 + 55 = 86,addition_error
96 + 51 = 147,correct
22 + 17 = 39,correct
64 + 63 = 130,addition_error
75 + 54 = 129,correct
9 + 57 = 66,correct
35 + 95 = 138,addition_error
46 + 22 = 74,addition_error
34 + 14 = 39,subtraction_error
10 + 28 = 48,addition_error
93 + 32 = 123,subtraction_error
65 + 8 = 73,correct
46 + 52 = 108,addition_error
82 + 94 = 181,addition_error
93 + 75 = 163,subtraction_error
48 + 51 = 99,correct
37 + 2 = 37,subtraction_error
18 + 95 = 113,correct
26 + 38 = 64,correct
51 + 21 = 63,subtraction_error
58 + 54 = 106,subtraction_error
44 + 12 = 56,correct
32 + 38 = 66,subtraction_error
65 + 55 = 119,subtraction_error
43 + 51 = 94,correct
72 + 95 = 159,subtraction_error
53 + 69 = 113,subtraction_error
59 + 47 = 114,addition_error
41 + 60 = 101,correct
37 + 98 = 126,subtraction_error
35 + 3 = 28,subtraction_error
63 + 74 = 137,correct
45 + 36 = 88,addition_error
45 + 73 = 109,subtraction_error
48 + 77 = 125,correct
78 + 42 = 112,subtraction_error
8 + 90 = 102,addition_error
76 + 19 = 98,addition_error
79 + 38 = 117,correct
69 + 49 = 119,addition_error
28 + 33 = 61,correct
3 + 24 = 27,correct
7 + 91 = 104,addition_error
30 + 84 = 107,subtraction_error
15 + 2 = 15,subtraction_error
63 + 13 = 77,addition_error
12 + 58 = 69,subtraction_error
57 + 82 = 147,addition_error
9 + 30 = 43,addition_error
8 + 8 = 15,subtraction_error
3 + 75 = 78,correct
33 + 88 = 129,addition_error
66 + 89 = 155,correct
49 + 98 = 147,correct
83 + 2 = 85,correct
65 + 98 = 159,subtraction_error
76 + 93 = 171,addition_error
16 + 51 = 74,addition_error
50 + 15 = 66,addition_error
30 + 60 = 90,correct
96 + 3 = 109,addition_error
86 + 7 = 93,correct
33 + 69 = 102,correct
15 + 98 = 113,correct
29 + 75 = 104,correct
38 + 17 = 57,addition_error
24 + 11 = 44,addition_error
16 + 41 = 54,subtraction_error
14 + 17 = 33,addition_error
26 + 46 = 72,correct
21 + 69 = 85,subtraction_error
11 + 12 = 17,subtraction_error
80 + 42 = 113,subtraction_error
59 + 69 = 118,subtraction_error
67 + 65 = 136,addition_error
88 + 75 = 169,addition_error
42 + 38 = 86,addition_error
46 + 22 = 68,correct
93 + 80 = 166,subtraction_error
8 + 26 = 35,addition_error
51 + 91 = 142,correct
22 + 17 = 38,subtraction_error
18 + 33 = 41,subtraction_error
69 + 32 = 101,correct
98 + 25 = 114,subtraction_error
78 + 9 = 79,subtraction_error
9 + 32 = 41,correct
23 + 32 = 55,correct
5 + 31 = 27,subtraction_error
70 + 49 = 109,subtraction_error
21 + 88 = 118,addition_error
12 + 58 = 70,correct
34 + 7 = 41,correct
61 + 30 = 86,subtraction_error
9 + 91 = 99,subtraction_error
11 + 12 = 26,addition_error
44 + 84 = 122,subtraction_error
37 + 63 = 100,correct
69 + 75 = 141,subtraction_error
69 + 23 = 91,subtraction_error
75 + 44 = 113,subtraction_error
85 + 13 = 98,correct
18 + 23 = 35,subtraction_error
4 + 19 = 30,addition_error
45 + 83 = 129,addition_error
40 + 55 = 86,subtraction_error
4 + 95 = 105,addition_error
51 + 12 = 66,addition_error
4 + 60 = 61,subtraction_error
11 + 20 = 39,addition_error
42 + 16 = 62,addition_error
91 + 30 = 119,subtraction_error
98 + 28 = 134,addition_error
95 + 12 = 112,addition_error
5 + 30 = 27,subtraction_error
62 + 40 = 108,addition_error
63 + 23 = 80,subtraction_error
18 + 53 = 71,correct
45 + 75 = 120,correct
51 + 98 = 156,addition_error
45 + 59 = 98,subtraction_error
61 + 30 = 87,subtraction_error
80 + 23 = 102,subtraction_error
27 + 42 = 60,subtraction_error
22 + 79 = 92,subtraction_error
23 + 88 = 120,addition_error
81 + 6 = 85,subtraction_error
69 + 27 = 87,subtraction_error
6 + 65 = 75,addition_error
78 + 47 = 132,addition_error
36 + 61 = 97,correct
21 + 53 = 68,subtraction_error
91 + 37 = 128,correct
90 + 18 = 114,addition_error
91 + 37 = 125,subtraction_error
25 + 34 = 59,correct
10 + 92 = 108,addition_error
30 + 70 = 99,subtraction_error
13 + 34 = 47,correct
32 + 58 = 98,addition_error
69 + 32 = 106,addition_error
96 + 7 = 105,addition_error
29 + 83 = 112,correct
44 + 29 = 73,correct
33 + 17 = 50,correct
59 + 20 = 78,subtraction_error
91 + 95 = 186,correct
23 + 98 = 120,subtraction_error
6 + 45 = 51,correct
28 + 38 = 66,correct
12 + 71 = 83,correct
56 + 80 = 129,subtraction_error
68 + 83 = 151,correct
4 + 4 = 10,addition_error
3 + 93 = 101,addition_error
96 + 76 = 172,correct
76 + 83 = 164,addition_error
81 + 31 = 117,addition_error
28 + 69 = 97,correct
12 + 35 = 47,correct
80 + 55 = 132,subtraction_error
33 + 69 = 100,subtraction_error
74 + 96 = 167,subtraction_error
5 + 30 = 35,correct
3 + 75 = 72,subtraction_error
22 + 9 = 37,addition_error
38 + 49 = 86,subtraction_error
6 + 25 = 29,subtraction_error
86 + 30 = 107,subtraction_error
32 + 69 = 100,subtraction_error
60 + 66 = 126,correct
55 + 4 = 65,addition_error
24 + 88 = 118,addition_error
25 + 44 = 69,correct
31 + 77 = 108,correct
21 + 43 = 61,subtraction_error
53 + 17 = 62,subtraction_error
14 + 20 = 33,subtraction_error
50 + 31 = 82,addition_error
7 + 91 = 90,subtraction_error
82 + 94 = 176,correct
21 + 93 = 111,subtraction_error
57 + 82 = 139,correct
83 + 20 = 98,subtraction_error
69 + 54 = 123,correct
11 + 3 = 14,correct
57 + 4 = 61,correct
6 + 25 = 31,correct
89 + 96 = 175,subtraction_error
65 + 38 = 96,subtraction_error
29 + 7 = 38,addition_error
89 + 3 = 92,correct
80 + 61 = 133,subtraction_error
73 + 72 = 145,correct
70 + 72 = 132,subtraction_error
90 + 94 = 184,correct
34 + 40 = 74,correct
3 + 16 = 27,addition_error
16 + 83 = 99,correct
15 + 2 = 17,correct
89 + 35 = 132,addition_error
7 + 72 = 72,subtraction_error
8 + 90 = 98,correct
69 + 10 = 87,addition_error
62 + 58 = 125,addition_error
12 + 92 = 104,correct
34 + 7 = 39,subtraction_error
3 + 24 = 31,addition_error
17 + 91 = 110,addition_error
94 + 4 = 91,subtraction_error
93 + 75 = 177,addition_error
75 + 86 = 155,subtraction_error
54 + 22 = 76,correct
88 + 1 = 89,correct
14 + 61 = 71,subtraction_error
93 + 60 = 146,subtraction_error
26 + 70 = 95,subtraction_error
44 + 99 = 139,subtraction_error
39 + 36 = 70,subtraction_error
60 + 52 = 108,subtraction_error
91 + 16 = 111,addition_error
40 + 60 = 95,subtraction_error
41 + 16 = 57,correct
61 + 78 = 139,correct
14 + 42 = 56,correct
23 + 60 = 80,subtraction_error
90 + 83 = 173,correct
8 + 36 = 36,subtraction_error
89 + 32 = 121,correct
8 + 88 = 96,correct
73 + 37 = 115,addition_error
46 + 79 = 125,correct
30 + 72 = 92,subtraction_error
95 + 72 = 167,correct
28 + 50 = 87,addition_error
46 + 38 = 93,addition_error
88 + 3 = 83,subtraction_error
31 + 13 = 37,subtraction_error
17 + 32 = 49,correct
41 + 52 = 93,correct
15 + 34 = 41,subtraction_error
62 + 37 = 106,addition_error
25 + 93 = 110,subtraction_error
85 + 26 = 102,subtraction_error
89 + 72 = 161,correct
94 + 78 = 162,subtraction_error
37 + 61 = 96,subtraction_error
54 + 40 = 94,correct
12 + 24 = 28,subtraction_error
23 + 88 = 104,subtraction_error
8 + 77 = 94,addition_error
16 + 72 = 88,correct
54 + 50 = 104,correct
89 + 96 = 185,correct
52 + 8 = 60,correct
6 + 65 = 71,correct
43 + 27 = 78,addition_error
33 + 94 = 135,addition_error
82 + 91 = 173,correct
93 + 80 = 182,addition_error
78 + 52 = 131,addition_error
15 + 66 = 74,subtraction_error
70 + 49 = 119,correct
72 + 5 = 84,addition_error
34 + 38 = 72,correct
40 + 60 = 107,addition_error
81 + 6 = 87,correct
26 + 38 = 61,subtraction_error
16 + 34 = 59,addition_error
17 + 61 = 77,subtraction_error
53 + 68 = 116,subtraction_error
65 + 80 = 144,subtraction_error
87 + 38 = 115,subtraction_error
21 + 21 = 38,subtraction_error
23 + 60 = 86,addition_error
58 + 30 = 81,subtraction_error
64 + 79 = 139,subtraction_error
82 + 85 = 158,subtraction_error
23 + 5 = 36,addition_error
8 + 26 = 34,correct
23 + 98 = 121,correct
40 + 11 = 51,correct
79 + 30 = 103,subtraction_error
6 + 45 = 50,subtraction_error
50 + 33 = 79,subtraction_error
69 + 25 = 96,addition_error
72 + 36 = 108,correct
28 + 95 = 123,correct
10 + 57 = 67,correct
8 + 88 = 104,addition_error
42 + 52 = 99,addition_error
94 + 89 = 183,correct
57 + 4 = 62,addition_error
8 + 90 = 94,subtraction_error
36 + 30 = 66,correct
31 + 77 = 114,addition_error
88 + 40 = 128,correct
61 + 55 = 120,addition_error
90 + 11 = 94,subtraction_error
4 + 33 = 37,correct
91 + 95 = 195,addition_error
82 + 16 = 96,subtraction_error
83 + 87 = 170,correct
70 + 79 = 139,subtraction_error
6 + 91 = 98,addition_error
81 + 73 = 156,addition_error
93 + 95 = 194,addition_error
36 + 70 = 115,addition_error
83 + 20 = 103,correct
50 + 3 = 49,subtraction_error
39 + 80 = 119,correct
89 + 62 = 141,subtraction_error
11 + 32 = 39,subtraction_error
7 + 44 = 51,correct
32 + 58 = 90,correct
3 + 76 = 78,subtraction_error
51 + 55 = 100,subtraction_error
64 + 95 = 159,correct
4 + 2 = 4,subtraction_error
88 + 50 = 128,subtraction_error
42 + 28 = 78,addition_error
67 + 95 = 172,addition_error
95 + 70 = 161,subtraction_error
55 + 32 = 87,correct
42 + 9 = 61,addition_error
13 + 13 = 31,addition_error
51 + 66 = 124,addition_error
21 + 18 = 39,correct
55 + 30 = 85,correct
81 + 59 = 145,addition_error
14 + 87 = 97,subtraction_error
34 + 95 = 132,addition_error
40 + 96 = 136,correct
66 + 39 = 105,correct
94 + 44 = 138,correct
66 + 89 = 150,subtraction_error
26 + 46 = 70,subtraction_error
45 + 96 = 134,subtraction_error
94 + 4 = 98,correct
93 + 4 = 97,correct
33 + 88 = 121,correct
67 + 94 = 161,correct
93 + 40 = 133,correct
26 + 68 = 89,subtraction_error
60 + 52 = 112,correct
9 + 61 = 70,correct
71 + 28 = 96,subtraction_error
46 + 45 = 96,addition_error
84 + 44 = 124,subtraction_error
72 + 82 = 154,correct
93 + 75 = 168,correct
67 + 82 = 151,addition_error
29 + 30 = 59,correct
86 + 36 = 122,correct
51 + 91 = 132,subtraction_error
18 + 14 = 35,addition_error
6 + 8 = 16,addition_error
73 + 5 = 71,subtraction_error
12 + 26 = 38,correct
53 + 68 = 130,addition_error
67 + 10 = 77,correct
22 + 79 = 101,correct
73 + 41 = 113,subtraction_error
3 + 93 = 96,correct
30 + 60 = 100,addition_error
16 + 37 = 53,correct
80 + 61 = 146,addition_error
56 + 58 = 113,subtraction_error
8 + 50 = 58,correct
62 + 37 = 99,correct
4 + 74 = 77,subtraction_error
40 + 61 = 110,addition_error
42 + 89 = 132,addition_error
98 + 70 = 167,subtraction_error
64 + 52 = 112,subtraction_error
8 + 56 = 68,addition_error
70 + 49 = 122,addition_error
71 + 4 = 69,subtraction_error
89 + 62 = 158,addition_error
74 + 30 = 109,addition_error
98 + 47 = 142,subtraction_error
85 + 23 = 108,correct
61 + 47 = 106,subtraction_error
48 + 58 = 106,correct
41 + 37 = 80,addition_error
10 + 44 = 54,correct
8 + 86 = 94,correct
21 + 6 = 37,addition_error
18 + 41 = 59,correct
63 + 44 = 101,subtraction_error
83 + 20 = 99,subtraction_error
3 + 56 = 64,addition_error
53 + 15 = 78,addition_error
60 + 8 = 77,addition_error
13 + 18 = 33,addition_error
30 + 4 = 34,correct
18 + 77 = 101,addition_error
3 + 76 = 79,correct
89 + 72 = 153,subtraction_error
89 + 96 = 191,addition_error
8 + 99 = 102,subtraction_error
18 + 53 = 74,addition_error
51 + 66 = 107,subtraction_error
28 + 38 = 75,addition_error
34 + 17 = 60,addition_error
55 + 6 = 61,correct
72 + 33 = 105,correct
45 + 7 = 61,addition_error
15 + 99 = 121,addition_error
